Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
1380,JHON YOUNG KYU,P 2 G,Jl. Jababeka IXA,1,Komponen Electronic pengerjaan logam dan moulding,Metal Fabrication,South Korea,SFB
2098,IBU SANDRA,K 1 A,Jl. Jababeka Raya,1,,Others,Indonesia,SFB
1152,KITAKAYA RAHARJA INDONESIA,CC 2,Jl. Jababeka IIG,1,Engineering plastic and compounding,Plastik,Indonesia,TOB
864,PENTABUANA DUTA,C 17 I,Jl. Jababeka IIIH,1,"Plastic PVC, Vacum Forming",Plastik,Indonesia,TOB
864,AYEKEH TEAM INDONESIA,CC 32,Jl. Jababeka IIJ,1,Bahan baku keramik,Material Bangunan,Indonesia,TOB
1380,PLATECH MOLD INDONESIA,J 10 B,Jl. Jababeka XIV,1,"Plastic injection, molding plastic and die casting moldmaker",Plastik,South Korea,SFB
864,KAIROS MULTI SEJAHTERA,CC 12,Jl. Jababeka IIH,1,"Baut dan mur (fastener), stainless, baja, besi biasa ",Material Bangunan,Indonesia,TOB
1725,BANSHU PLASTIC INDONESIA,J 12 C,Jl. Jababeka XIV,1,"Injection part, extruder part, precision tools, mold maker",Plastik,Japan,SFB
864,ESTILO KARPETINDO INDUSTRY,CC 14,Jl. Jababeka IIH,1,Tikar Plastik dan Keset,Plastik,Indonesia,TOB
1740,HUNTER DOUGLAS INDONESIA,J 11 E,Jl. Jababeka XIV,1,"Alumunium Ceiling, Window Fashion Blinds",Baja/Logam,Netherland,SFB
1152,ARLENE JAYAMANDIRI,C 16 V,Jl. Jababeka IIG,1,Plastic Injection,Plastik,Indonesia,TOB
1386,ESA KARYA MEGATAMA,K 6 C,Jl. Jababeka XIA,1,"Stamping part, Welding, press",Metal Fabrication,Indonesia,SFB
1740,RAYA SAHAM REGISTRA,J 11 F,Jl. Jababeka XIV,1,Penyimpanan Arsip,Jasa,Indonesia,SFB
864,MULTI MEKANIKA SERASI,CC 15,Jl. Jababeka IIH,1,Fabrication and manufacturing of various equipment and industrial machinery,Mesin,Indonesia,TOB
1152,AUTO ANTENNA MANUFACTURING,CC 21,Jl. Jababeka IIG,1,Antenna mobil,Elektronik,Malaysia,TOB
1080,SOUTHERN TRISTAR,C 17 K,Jl. Jababeka IIIH,1,Cable support system,Baja/Logam,Singapore,TOB
1152,STEVANUS HARDI,C 16 S,Jl. Jababeka IIG,1,Pabrik Produksi Knitting,Tekstil,Indonesia,TOB
1380,PLATECH INDONESIA,J 11 G,Jl. Jababeka XIV,1,Industri peralatan audio dan video elektronik lainnya,Elektronik,South Korea,SFB
1380,CHEMOKO EKAPERKASA,J 11 H,Jl. Jababeka XIV,1,Aluminium tube,Baja/Logam,Indonesia,SFB
864,PD TIGA BINTANG,C 17 E,Jl. Jababeka IIIH,1,Peti Mati,Jasa,Indonesia,TOB
1740,MEGA KEMIRAYA,J 11 J,Jl. Jababeka XIV,1,Bahan kimia,Kimia,Singapore,SFB
1740,METALSINDO PACIFIC,J 10 H,Jl. Jababeka XIV,1,Metal steel dan noun ferrous metal,Metal Fabrication,Japan,SFB
1740,YAZUHO AUTO,J 10 H,Jl. Jababeka XIV,1,"Produk karet (grommet, cover, dll)",Otomotif,Indonesia,SFB
