Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
2042,WISMATATA ELTRAJAYA,R 2 I,Jl. Jababeka VIIG,1,"Transformer repairing, maintenance & general trade",Trading,Indonesia,SFB
5477,AIR LIQUIDE INDONESIA,PP 1,Jl. Industri Selatan,2,Industrial gas,Kimia,France,Kavling
1676,IKITECH PRECISION GRINDING,B 11 H,Jl. Jababeka VIIIA,1,Special cutting tools,Mesin,Indonesia,SFB
1997,KASHIMA SEIKI INDONESIA,T 2 I,Jl. Jababeka IVC,1,Valve spring dan ring stopper,Otomotif,Japan,SFB
1908,MERPATI BALAP SAKTI,P 5 R,Jl. Jababeka IXC,1,Atap sengalume,Material Bangunan,Indonesia,SFB
1331,NIPARINDO SARITAMA,B 11 O,Jl. Jababeka VIIIA,1,Perdagangan barang dan industri,Trading,Indonesia,SFB
1682,BUMIPUTRA MANUFAKTUR TEKNOLOGI,B 11 S,Jl. Jababeka VIIIA,1,Mold maker dan alumunium die casting,Plastik,Indonesia,SFB
2042,ENHANCED METAL INDONESIA,R 2 H,Jl. Jababeka VIIG,1,"Industri mur, baut dari logam utk komp. Elektronika",Elektronik,South Korea,SFB
1676,USAHA JAYAMAS BHAKTI,B 11 I,Jl. Jababeka VIIIA,1,Perdagangan barang,Trading,Indonesia,SFB
864,HIBEX INDONESIA,C 18 E,Jl. Jababeka III,1,"Electric Screw Driver, SMT, Automation",Elektronik,Singapore,TOB
1272,DONG SAN INDONESIA,C 17 AS,Jl. Jababeka IIIG,1,Injection komponen plastik,Plastik,South Korea,TOB
1740,ULTRATREND BIOTECH INDONESIA,V 82 B,Jl. Jababeka IVD,1,Obat tradisional,Farmasi,Indonesia,SIB
1329,PLAKOIN TECHNOLOGY INDONESIA,B 11 K,Jl. Jababeka VIIIA,1,Plastik,Plastik,South Korea,SFB
1677,TIMURRAYA KURNIAMANUNGGAL,B 11 M,Jl. Jababeka VIIIA,1,Pelumas (oli otomotif),Otomotif,Indonesia,SFB
576,BANGKIT MAJU WIJAYA,OO 2 E,Jl. Industri Selatan 1,2,Thinner Cat,Kimia,Indonesia,TOB
576,HALUAN CIPTA MAJU,OO 2 C,Jl. Industri Selatan 1,2,Jasa repair electric motor,Mesin,Indonesia,TOB
984,SANWELL AUSTINDO,OO 1 A,Jl. Industri Selatan 1,2,"Service in plumbing suppliers and manufacturers of a wide range of plumbing products & equipment ranging from sewage & wtp through to pipes, valves, taps for residential, commercial, mining, hospital, safety, hotel, public facility & manufacturing indust",Jasa,Indonesia,TOB
1329,LANGGENG MULTI USAHA,B 11 B,Jl. Jababeka VIIIA,1,Pipa dan accessories,Material Bangunan,Indonesia,SFB
1329,PRIMA TOOLING,B 11 C,Jl. Jababeka VIIIA,1,Graphite,Elektronik,Japan,SFB
2629,GRANRE ELECTRICAL INDONESIA,V 90 A,Jl. Jababeka XVIIC,1,Industri mesin pendingin,Elektronik,China,SFB
576,DERISTAMA TEKNINDO MANDIRI,OO 2 D,Jl. Industri Selatan 1,2,"Dies, mould, precision part",Mesin,Indonesia,TOB
15117,TOKKI ENGINEERING AND FABRICATION,W 26,Jl. Jababeka XVIIB,1,"Industri tangki, tandon air dan wadah dari logam",Metal Fabrication,Japan,Kavling
1678,UP - ALUMINDO,B 11 L,Jl. Jababeka VIIIA,1,Alumunium,Otomotif,Indonesia,SFB
864,DAEHEUNG TECH,C 15 R,Jl. Jababeka IID,1,Barang dan peralatan plastik,Plastik,South Korea,TOB
41044,SIBELCO LAUTAN MINERALS,W 30-35,Jl. Jababeka XVI,1,"Tepung silica, feldspar",Kimia,Belgia,Kavling
1676,HEMOLIS UNGGUL PERSADA,B 11 F,Jl. Jababeka VIIIA,1,Cairan hemodialisa,Farmasi,Indonesia,SFB
1908,PEMA META PRESINDO,JJ 1,Jl. Industri Selatan 2,2,Sparepart roda 2 dan roda 4,Otomotif,Indonesia,SFB
1740,VOESTALPINE BOHLER WELDING ASIA PACIFIC,JJ 9,Jl. Industri Selatan 2,2,Welding consumabkes manufactur,Konstruksi,Austria - Germany,SFB
864,LONG XIANG FOOD TECHNOLOGY INDUSTRIAL,OO 2 A,Jl. Industri Selatan 1,2,"Industri bumbu dan penyedap rasa seperti gulai, kari",Makanan,Taiwan,TOB
1743,SIGMA REKAYASA PRIMA,J 5 P,Jl. Jababeka XIVA,1,"Water truck, fuel truck, lube truck, dump truck, storage tank, tower lamp, lube station, dll",Otomotif,Indonesia,SFB
7692.87,ARTOKAYA INDONESIA,QQ 11,Jl. Industri Selatan,2,Industri barang dari logam bukan aluminium siap pasang untuk bangunan,Material Bangunan,Japan,Kavling
1055,TUNAS MAKMUR JAYA ABADI,C 17 CT,Jl. Jababeka IIIH,1,Cat,Kimia,Indonesia,TOB
1740,SE MIN METAL INDONESIA,JJ 12,Jl. Industri Selatan 2,2,Jasa pembuatan molding (mold maker),Jasa,South Korea,SFB
1335,APTAR B & H INDONESIA,B 11 U,Jl. Jababeka VIIIA,1,Dispensing pump,Jasa,USA,SFB
864,WIYASA MANUNGGAL PERKASA,OO 3 H,Jl. Industri Selatan 1,2,,Others,Indonesia,TOB
2098,CONEX INTI MAKMUR,B 11 X,Jl. Jababeka VIIIA,1,Komponen Furniture,Jasa,Indonesia,SFB
864,LANGGENG MANDIRI INTERNUSA,OO 2 H,Jl. Industri Selatan 1,2,Enggineering maintenance,Plastik,Indonesia,TOB
1469,MULTI COLOR JAKARTA INDONESIA,V 69 B,Jl. Jababeka XVIID,1,Stiker label,Packaging,USA,SFB
1740,TESSO TETRA CHEMIKA,JJ 4,Jl. Industri Selatan 2,2,Chemicals,Kimia,Indonesia,SFB
576,PANDUCAKRAWALA BUANAPERTIWI,OO 1 F,Jl. Industri Selatan 1,2,Repacking Lem,Packaging,Indonesia,TOB
576,ASAHI CIPTA PRIMA,OO 3 D,Jl. Industri Selatan 1,2,"Komponen mesin tekstil dan belt (spare part mesin textile, belt conveyor)",Mesin,Japan,TOB
800,NAGOYA DIES INDONESIA,C 2 V,Jl. Samsung 2C,UKM,dies and mould manufacturing,Mesin,Japan,TOB
1740,PLATECH JAYA INDONESIA,K 2 M,Jl. Jababeka VIIB,1,Plastik injection,Plastik,South Korea,SFB
576,BINTANG ANUGRAH SAMUELRENO,OO 3 F,Jl. Industri Selatan 1,2,"Sepatu, sarung tangan, perlengkapan keselamatan kerja",Jasa,Indonesia,TOB
576,PASADENA METRIC INDONESIA,OO 3 E,Jl. Industri Selatan 1,2,Metal concentrate,Metal Fabrication,Indonesia,TOB
576,PERMA PLASINDO,OO 1 G,Jl. Industri Selatan 1,2,Perdagangan alat tulis kantor,Trading,Indonesia,TOB
1584,SURYA MARGA PRATAMA,T 2 J,Jl. Jababeka IVC,1,Cat marka jalan,Kimia,Indonesia,SFB
1407,DAKFU TAMAJAYA,C 17 DT,Jl. Jababeka IIIH,1,,Others,Indonesia,TOB
864,PUTERATEL ANDALAN SUKSES,OO 1 H,Jl. Industri Selatan 1,2,Claims,Jasa,Indonesia,TOB
1154,ADYRAS PUTRA TECHNO,CC 17,Jl. Jababeka IIH,1,Sheet metal,Metal Fabrication,Indonesia,TOB
1380,SEC INDONESIA,JJ 15,Jl. Industri Selatan 2,2,Komponen kendaraan bermotor roda dua atau lebih,Otomotif,Japan,SFB
30000,INDOCORR PACKAGING CIKARANG,LL 3,Jl. Industri Selatan 2,2,Industri kemasan dan kotak dari kertas dan karton,Packaging,Thailand,Kavling
15000,BINA NIAGA MULTIUSAHA,PP 4 EXT,Jl. Industri Selatan 4,2,Stainless strip incoil,Baja/Logam,Indonesia,Kavling
2865,TOSANAJI INDONESIA,J 5 J-K,Jl. Jababeka XIVA,1,Metal fabrication,Metal Fabrication,Japan,SFB
3227,DWIJAYAMANDIRI CEMERLANG,T 5,Jl. Jababeka IV,1,"Corrugated making machine to converting machineries (Flexo Printing, Platten Die Cut, Automatic Prefeeder, Slitter Creaser, Hand Stitch)",Mesin,Indonesia,SFB
5901,YOHZU INDONESIA,W 24,Jl. Jababeka XIIB,1,"Engine mount, pressure plate & ring temple (textile machine part)",Mesin,Japan,Kavling
1380,AMAN PELUMAS NUSANTARA,MM 16,Jl. Industri Selatan 2,2,Oli mesin dan pelumas,Mesin,Indonesia,SFB
1915,FUKOKU TOKAI RUBBER INDONESIA,MM 19,Jl. Industri Selatan 2,2,"Pulley damper, cushion rubber, brake and seal",Otomotif,Japan,SFB
1380,KONET TECH UTAMA,MM 6,Jl. Industri Selatan 2,2,Kabel Serat Optik dan Peralatan Telekomunilasi lainnya,Elektronik,South Korea,SFB
1380,CHIYODA KOGYO INDONESIA,JJ 16,Jl. Industri Selatan 2,2,"Industri mesin dan perkakas mesin untuk pengerjaan logam, reparasi mesin untuk keperluan khusus, perdagangan besar mesin, peralatan dan perlengkapan lainnya",Mesin,Japan,TOB
1740,SANKYU INDONESIA INTERNATIONAL,JJ 5,Jl. Industri Selatan 2,2,Jasa Konstruksi,Jasa,Japan,SFB
864,CAHAYA GEMILANG PRESISI,OO 3 A,Jl. Industri Selatan 1,2,Moulding Injection,Mesin,South Korea,TOB
1740,BATAWELL,MM 5,Jl. Industri Selatan 2,2,Industri komponen mesin pendingin,Elektronik,Taiwan,SFB
1380,CHEH HWA INDONESIA,MM 3,Jl. Industri Selatan 2,2,Industri komponen mesin pendingin & sparepart kendaraan bermotor,Mesin,Taiwan,SFB
15539,MULTI PRATAMA INTERBUANA INDONESIA,W 38,Jl. Jababeka XVI,1,Sparepart otomotif,Otomotif,Malaysia,Kavling
1740,JAYA ECO ENERGI,MM 8,Jl. Industri Selatan 2,2,,Others,Indonesia,SFB
8480,HULARO INDONESIA,P 3,Jl. Jababeka IXD,1,Rotan sintetis,Plastik,Indonesia,Kavling
1380,MITRA GALPERTI,U 24 C,Jl. Jababeka XVIIE,1,Industri pipa dan sambungan pipa dari besi dan baja,Baja/Logam,Indonesia,TOB
2548,CITRA NATA PRAMANA,K 11 A,Jl. Jababeka XIII,1,Food Ingredients,Makanan,Indonesia,SFB
1740,SURYA MOLDTECH,U 30 D,Jl. Jababeka XVIID,1,Mold for automotive and electronics,Plastik,Indonesia,SFB
7922,TESHIN INDONESIA,T 1 GH,Jl. Jababeka IV,1,Aluminium parts,Baja/Logam,Taiwan,Kavling
1740,MITRA PIPA UTAMA / MITRA GALPERTI,U 24 D,Jl. Jababeka XVIIE,1,Industri pipa dan sambungan pipa dari besi dan baja,Baja/Logam,Indonesia,SFB
21179,WILMAR CAHAYA INDONESIA TBK,GG 1,Jl. Industri Selatan 3,2,Minyak nabati,Pertanian,Indonesia,Kavling
22500,TAE WON INDONESIA,LL 6,Jl. Industri Selatan 1,2,Kemasan dan kotak dari kertas dan karton,Packaging,South Korea,Kavling
1380,MEGAN CASSIA INTERNATIONAL,U 35 B,Jl. Jababeka XVIIB,1,Jasa cutting pipe,Jasa,Taiwan,SFB
12765,ARTHA KARYA UTAMA,W 25,Jl. Jababeka XIIB,1,Food & Beverages Industries,Makanan,Indonesia,Kavling
19778,YINXIN TEKNIK MACHINERY INDONESIA,U 7,Jl. Jababeka XVI,1,Sparepart,Otomotif,China,Kavling
19778,YOUFA MANUFAKTUR PIPA BAJA DAN STRUKTUR�BAJA,U 7,Jl. Jababeka XVI,1,Pipa baja,Baja/Logam,China,Kavling
1740,M-I PRODUCTION CHEMICALS INDONESIA,U 27 A,Jl. Jababeka XVIIE,1,Bahan kimia khusus produksi minyak dan gas bumi,Kimia,USA,SFB
1914,CERI FOSHAN INDONESIA,WW 11,Jl. Industri Utara 1,2,Warehouse makanan (FMCG),Makanan,Indonesia,SFB
1380,ARMETA KREASI�MANDIRI,MM 2,Jl. Industri Selatan 2,2,Plastik injection,Plastik,Indonesia,SFB
1380,BUANA BAJA BINA SEMESTA,U 25 D,Jl. Jababeka XVIIE,1,"Perusahaan penyedia segala model karton box heavy duty dan pallet berbahan baku dari Karton, Kayu, Plastik, Steelcase dan lain-lain",Plastik,Japan,SFB
1380,LAM SENG HANG INDONESIA,U 25 B,Jl. Jababeka XVIIE,1,Chemical,Kimia,Singapore,SFB
1380,SOLUSI CUCI NUSANTARA,U 25 C,Jl. Jababeka XVIIE,1,Jasa cuci laundry/pakaian,Jasa,Indonesia,SFB
1740,TAKITA MANUFACTURING INDONESIA,U 29 A,Jl. Jababeka XVIID,1,"Ind. Perb. Mesin/peralatan berteknologi tinggi & prdg. Impor (metal Stamping, Press Product)",Metal Fabrication,Japan,SFB
22655,PRINTEC PERKASA,SS 4-5,Jl. Industri Utama,2,Industri kemasan dan kotak dari kertas dan karton,Packaging,Indonesia,Kavling
3182,WORLD METAL INDUSTRI NATIONAL,WW 14,Jl. Industri Utara 1,2,"Skid, pontoon, pipe, filter and metal products",Metal Fabrication,Indonesia,SFB
1518,SUPREME GLASS,WW 12,Jl. Industri Utara 1,2,Kaca tempered (safety glass),Otomotif,Indonesia,SFB
576,MALUGO INDONESIA,OO 3 B,Jl. Industri Selatan 1,2,Percatakan label dan barcode,Packaging,Japan,TOB
1908,PASIFIC REMOFINDO,U 30 A,Jl. Jababeka XVIID,1,Gudang,Others,Indonesia,SFB
6330,HUADA PLASTIK INDONESIA,C 19,Jl. Jababeka IIIC,1,Biji plastik nylon,Plastik,China,Kavling
2184,BANK NEGARA INDONESIA TBK,A 1 B,Jl. Jababeka Raya,1,Perbankan,Komersil,Indonesia,Kavling
1380,DONG YANG TECH,U 30 C,Jl. Jababeka XVIID,1,Industri mesin dan perkakas mesin untuk pengerjaan logam,Mesin,South Korea,SFB
2580,WIJAYA STEELINDO,U 29 E,Jl. Jababeka XVIID,1,Rangka atap baja ringan,Metal Fabrication,Indonesia,SFB
1399,GANDUM MAS KENCANA,SS 18,Jl. Industri Utara 1,2,,Makanan,Indonesia,SFB
1767,ARSIP GEOSERVICES INDONESIA,SS 12,Jl. Industri Utara 1,2,Jasa Pengelolaan arsip,Jasa,Indonesia,SFB
576,PANCA DARMA SEJATI,OO 1 E,Jl. Industri Selatan 1,2,,Others,Indonesia,TOB
864,FANOS ASIA,OO 4 A,Jl. Industri Selatan 1,2,Cat,Kimia,Indonesia,TOB
1917,GEOSERVICES,MM 1,Jl. Industri Selatan 2,2,Sertifikat hasil analisa (jasa laboratorium),Jasa,Indonesia,SFB
867,EUREKA METALINDO,U 22 K,Jl. Jababeka XVII-I,1,Otomotif / Electronic,Otomotif,Indonesia,TOB
13143,MISUMI INDONESIA,W 27,Jl. Jababeka XIIB,1,Standar komponen mesin,Mesin,Japan,Kavling
474,DHP INDONESIA,C 1 K,Jl. Samsung 2A,UKM,Senar Gitar,Elektronik,South Korea,SIB
10148,FUJI SEIMITSU INDONESIA,RR 10,Jl. Industri Selatan,2,U-Nut,Otomotif,Japan,Kavling
1400,OSCAR OMEGA,SS 17,Jl. Industri Utara 1,2,Wheel loader,Jasa,Indonesia,SFB
1765,PRASTIWAHYU TUNAS ENGINEERING,SS 16,Jl. Industri Utara 1,2,Panel listrik tegangan rendah,Elektronik,Indonesia,SFB
1380,MASTE DAYAA,U 29 B,Jl. Jababeka XVIID,1,"Industri alat/peralatan pemadam kebakaran, bahan kimia (campuran air pemadam kebakaran) dan warehouse",Kimia,Indonesia,SFB
1740,TAIYO GIKEN INDONESIA,MM 17,Jl. Industri Selatan 2,2,Perdagangan besar impor,Otomotif,Japan,SFB
576,NUSA PRESI,OO 2 G,Jl. Industri Selatan 1,2,Bengkel bubut,Jasa,Indonesia,TOB
1380,PUTRA ALAM LOGISTICS,U 26 B,Jl. Jababeka XVIIE,1,Logistik,Jasa,Indonesia,SFB
1380,IK PRECISION INDONESIA,U 23 C,Jl. Jababeka XVIIF,1,Plastik injection untuk elektronik dan otomotif,Plastik,Japan,SFB
3784,PERUSAHAAN DAGANG MUARA,K 10 G,Jl. Jababeka XIB,1,Manufacture Of Packaging Paper,Packaging,Indonesia,SFB
1380,DHARMA CONTROLCABLE INDONESIA,U 28 C,Jl. Jababeka XVIID,1,Komponen otomotif,Otomotif,Taiwan,SFB
576,RANCANG REKATAMA POLYMERINDO,OO 4 C,Jl. Industri Selatan 1,2,Conveyor Chains & Engin. Plastics Component,Plastik,Indonesia,TOB
1671,DAWEE PRINTING INDONESIA,C 2 F,Jl. Jababeka IV,1,Percetakan,Packaging,South Korea,SFB
1380,BRENNTAG,U 28 B,Jl. Jababeka XVIID,1,Warehouse Distributor bahan kimia Industri,Kimia,Germany,SFB
1740,AES NATURAL INGREDIENTS INDONESIA,U 25 A,Jl. Jababeka XVIIE,1,Minyak atsiri,Pertanian,Singapore,SFB
576,NISHINIHON ELECTRONIC INDONESIA,HH 6,Jl. Industri Selatan,2,,Others,Indonesia,TOB
864,NEW GAS CONCEPTS,HH 8,Jl. Industri Selatan,2,Gas,Consumer Goods,Indonesia,TOB
2739,KURNIA MUSTIKA INDAH LESTARI,J 12 E,Jl. Jababeka XIV,1,Komponen otomotif,Otomotif,South Korea,SFB
1884,TRI CIPTA TEKNINDO,J 5 R,Jl. Jababeka XIV,1,Industri mesin  peralatan teknik untuk pengerjaan logam,Mesin,Indonesia,SFB
576,THAIPOLLUTECH MACHINERY INDONESIA,HH 5,Jl. Industri Selatan,2,Paint line,Mesin,Thailand,TOB
7671,DMC TEKNOLOGI INDONESIA,RR 7,Jl. Industri Utama,2,Touch panel (layar sentuh),Elektronik,Japan,Kavling
576,DATINDO ENTRYCOM,C 16 G,Jl. Jababeka IIE,1,Gudang,Others,Indonesia,TOB
543,KYOTOSEIKO INDONESIA,C 2 S,Jl. Samsung 2C,UKM,Mesin inspeksi dan otomatisasi mesin,Mesin,Japan,COB
336,KARYA PANGESTU,C 2 O,Jl. Samsung 2C,UKM,Pelumas,Otomotif,Indonesia,COB
1426,OTO KREASI INDO,A 2-8,Jl. Science Boulevard,5,,Others,Indonesia,SFB
10000,GIGA CREATIVE ENGINEERING,A 45 GG,Jl. Science Timur 1,5,Mold and Dies,Plastik,Indonesia,Kavling
10000,FUSOH TUBE PARTS INDONESIA,B 3,Jl. East Park Boulevard,6,Komponen alat berat,Otomotif,Japan,Kavling
1000,KYOKKO INDONESIA,C 1 R,Jl. Samsung 2A,UKM,Manufacturing (press brake tooling),Mesin,Japan,TOB
480,FUJIWARA INDONESIA,C 2 D,Jl. Samsung 2A,UKM,Jasa instalasi mesin,Jasa,Japan,SIB
474,JAMAI POLEI PEJATEN,C 1 J,Jl. Samsung 2A,UKM,Gudang,Others,Indonesia,COB
480,JPQ INDONESIA,C 2 B,Jl. Samsung 2A,UKM,Mold Maker,Otomotif,Japan,COB
480,SINTESA JAYA ABADI,C 2 C,Jl. Samsung 2A,UKM,Jasa painting,Jasa,Indonesia,COB
4721,YAMATO INDUSTRIES INDONESIA,D 3 A,Jl. East Park Boulevard,6,Komponen dan perlengkapan sepeda motor roda dua dan tiga,Otomotif,Japan,Kavling
10041,ASP INDONESIA,E 1 A,Jl. East Park Boulevard,6,Baja potongan,Baja/Logam,Japan,Kavling
1265,NSSI INDUSTRY INDONESIA,E 1 A,Jl. East Park Boulevard,6,Potongan logam,Baja/Logam,Japan,Kavling
1038,SURYA MULTINDO INDUSTRI,C 2 A-C EXT,Jl. Jababeka IV,1,Komponen elektronika (Industri barang-barang dari karet dan plastik),Plastik,South Korea,TOB
2336,SURYAMAS LUMISINDO DWIDAYA,T 6 B,Jl. Jababeka IVA,1,Lampu,Material Bangunan,Indonesia,SFB
7082,OHM ELECTRONICS INDONESIA,C 1 A-B,Jl. Jababeka IV,1,PCB Assembly,Elektronik,South Korea,Kavling
576,SAM-PLUS INDOTAMA INDUSTRY,C 16 J,Jl. Jababeka IIE,1,,Others,Indonesia,TOB
1247,MEGATAMA SPRING,TT 6,Jl. Industri Utara 1,2,Automotive spring,Otomotif,Indonesia,SFB
82080,CONWOOD INDONESIA,C 2-3,Jl. East Park Boulevard,6,Papan semen rata non asbestos,Material Bangunan,Thailand,Kavling
9738,KOREA ORIENT TECHNOLOGY INDONESIA,T 11,Jl. Jababeka IVC,1,Barang-barang dari Plastik,Plastik,South Korea,Kavling
864,CHAINWIN INDONESIA,HH 9,Jl. Industri Selatan,2,Kabel dan connector,Elektronik,China,TOB
1247,SYG SOLUTION INDONESIA,TT 3,Jl. Industri Utara 1,2,Double side tape,Packaging,South Korea,TOB
1560,RICO TECH PACIFIC,J 5 S,Jl. Jababeka XIV,1,Barang plastik untuk otomotif,Plastik,China,SFB
576,TIGA SEKAWAN PERKASA,C 16 K,Jl. Jababeka IIE,1,Pelumas,Otomotif,Indonesia,TOB
1728,CAHAYA KILAT BATERAI,C 15 O-P,Jl. Jababeka IID,1,,Others,Indonesia,Kavling
1380,DM-INDONESIA,V 78 H,Jl. Jababeka IVE,1,"Komponen elektronika, komponen kendaraan bermotor roda dua atau lebih",Otomotif,South Korea,SFB
864,PERTAMINA MAINTENANCE AND CONSTRUCTION,HH 10,Jl. Industri Selatan,2,,Others,Indonesia,TOB
864,LIANG SHENG INDONESIA,C 15 C,Jl. Jababeka IIE,1,Industri barang plastik,Plastik,Taiwan,TOB
1740,SELIM JAYA INDONESIA,V 78 F,Jl. Jababeka IVE,1,Wire harness,Baja/Logam,South Korea,SFB
2520,KOFORM INDONESIA,V 78 I,Jl. Jababeka IVE,1,Industri barang dari plastik,Plastik,South Korea,SFB
1380,ORIENTAL CERAMIC INDONESIA,V 78 G,Jl. Jababeka IVE,1,Elektronik,Elektronik,South Korea,SFB
100000,SEIREN INDONESIA,B 1 G,Jl. Science Timur 2,5,Kain untuk keperluan industri (interior car seat),Otomotif,Japan,Kavling
3648,COMCORE TEKNOLOGI INDONESIA,V 78 AB,Jl. Jababeka IVE,1,Smart metering,Elektronik,Singapore,SFB
3706,ARVICO ELECTRONICS INDONESIA,J 12 F,Jl. Jababeka XIV,1,"Industri paku, mur dan baut",Elektronik,South Korea,SFB
1798,KULINARI BOGA SEMESTA,A2 12B,Jl. Science Boulevard,5,"Seasoning, sauce, sirup, dst (distributor)",Makanan,Indonesia,SFB
576,FONDANUSA ADITAMA,C 16 I,Jl. Jababeka IIE,1,"Jasa dan pembuatan sparepart otomotif, kendaraan roda dua / empat dan alat berat",Otomotif,Indonesia,TOB
4860,MULTI PRIMA,V 78 C,Jl. Jababeka IVE,1,Spare part kendaraan roda empat,Otomotif,Indonesia,SFB
1456,CANDRA BROADCAST MEDIANTARA,K 12 A,Jl. Jababeka XIII,1,"Elektronika, layar display",Elektronik,Indonesia,SFB
864,UDARA JADI BERSIH,C 15 F,Jl. Jababeka IIE,1,Filter udara,Jasa,Indonesia,TOB
1534,ASIANET SPRING INDONESIA,RR 3 H,Jl. Industri Utama 1,2,Barang logam lainnya (Spring),Baja/Logam,Taiwan,SFB
,TELKOM INDONESIA (PERSERO) TBK,A 1,Jl. Jababeka Raya,1,Jasa Telekomunikasi,Jasa,Indonesia,Kavling
2420,ILSAM GLOBAL INDONESIA,RR 3 C,Jl. Industri Utama 1,2,"Colorants, additive, surface coating agents (for pu/pvc leather), water based pu resin/colorants",Kimia,South Korea,SFB
864,FAJAR SURYA LESTARI,HH 11,Jl. Industri Selatan,2,Industri Komponent Otomotif,Otomotif,Indonesia,TOB
289,KRISBOW INDONESIA,C 16 AG,Jl. Jababeka IIG,1,Alat perkakas industri/tools,Komersil,Indonesia,SIB
1953,AMAZON PAPYRUS CHEMICALS,RR 5 A-B,Jl. Industri Utama 1,2,Additive chemicals for tissue - pulp and paper industry,Kimia,UK,TOB
1564,KASANA TEKNINDO GEMILANG,T 5 A,Jl. Jababeka IVA,1,Unit dan parts alat berat,Otomotif,Singapore,SFB
5299,KERAMINDO KAWAN BERSAMA,V 78 J,Jl. Jababeka IVE,1,Gudang,Others,Indonesia,Kavling
3008,PRO TEC INDONESIA,V 78 M,Jl. Jababeka IVE,1,Stamping,Baja/Logam,South Korea,SFB
1740,SIN SUNG INDONESIA,P 5 Q,Jl. Jababeka IXC,1,Plastik,Plastik,South Korea,SFB
11940,ORIGIN DURACHEM INDONESIA,U 3 A,Jl. Jababeka XVI,1,"Manufacture of paint, thinner, ink",Kimia,Japan - Malaysia,Kavling
20000,UTAMA RACKINDO SEMESTA,P 6,Jl. Jababeka IXA,1,Rak server,Jasa,Indonesia,Kavling
1733,TECHNO ORBIT PARTICLE FILTRATION,V 78 Q,Jl. Jababeka IVE,1,Industri barang dan logam,Metal Fabrication,Indonesia,SFB
469,FILLA GUNA INDONESIA,C 16 AD,Jl. Jababeka IIG,1,,Others,Indonesia,SIB
296,KANAKA KREASINDO UTAMA,C 16 AF,Jl. Jababeka IIG,1,Plastik,Plastik,Indonesia,SIB
2902,SARANA PRASADA SEMESTA PRATAMA,V 78 K,Jl. Jababeka IVE,1,Pembuatan karton,Jasa,Indonesia,SFB
2805,CITRA ABDI KAWAN SEJATI,RR 3 G,Jl. Industri Utama 1,2,Distributor cat,Trading,Indonesia,SFB
275,TIGA REKSA PERDANA INDONESIA,C 16 AI,Jl. Jababeka IIG,1,Heating element,Elektronik,Indonesia,SIB
758,WESTERS INDUSTRIES,U 22 M,Jl. Jababeka XVII-I,1,Kimia,Kimia,Indonesia,TOB
2902,NITROTEC PLASTINDO,V 78 L,Jl. Jababeka IVE,1,Ind. Kemasan plastik,Plastik,Indonesia,SFB
2420,HWANG SO ENGINEERING,RR 5 G,Jl. Industri Utama 1,2,Industri dari bahan logam/besi (jasa konstruksi),Metal Fabrication,South Korea,SFB
864,WE TECH,C 16 AC,Jl. Jababeka IIG,1,"ICT fixture, fct jig, conveyor",Jasa,South Korea,TOB
573,WISANGGENI MITRA SEJAHTERA,U 7 G,Jl. Jababeka XVIIB,1,"Alat pelindung diri, lampu jalan, valve",Jasa,Indonesia,TOB
1776,I DECK INDONESIA,P 6 A,Jl. Jababeka IXA,1,Industri sub assy dan komponen elektronika,Elektronik,South Korea,SFB
1908,JUNG SHIM INDONESIA,P 6 D,Jl. Jababeka IXA,1,Cashing remote,Jasa,South Korea,SFB
1576,MAWI LOGISTIK INDONESIA,A3 2,Jl. Tekno Boulevard,3,Pengiriman barang,Jasa,Indonesia,SFB
1380,RBFOOD MANUFAKTUR INDONESIA,P 6 B,Jl. Jababeka IXA,1,Tepung olahan (breadcrumb),Makanan,Thailand,SFB
864,PRIMA REKSA INTERNUSA,C 16 F,Jl. Jababeka IIE,1,Distributor Oli,Trading,Indonesia,TOB
1934,COOLING AUTOMOTIVE INDONESIA,RR 3 J,Jl. Industri Utama 1,2,Ind. oil cooler utk kend. Bermotor,Otomotif,South Korea,SFB
1919,SURYA CITRA TELEVISI,RR 5 I,Jl. Industri Utama 1,2,Media,Jasa,Indonesia,SFB
960,AZMYA BAROKAH INSANI,C 16 AA,Jl. Jababeka IIG,1,Kosmetik,Consumer Goods,Indonesia,TOB
1685,BRIGHT FUTURE PRECISION METAL INDONESIA,RR 2 D,Jl. Industri Utama,2,Coil,Jasa,China,SFB
2326,STAR SPECIALTY CHEMICALS INDONESIA,T 5 B,Jl. Jababeka IV,1,Industri kimia umum,Kimia,Indonesia,SFB
1380,INSUNG PRECISION INDONESIA,MM 10,Jl. Industri Selatan 2,2,Automotive components,Otomotif,South Korea,SFB
1740,HYUNDAI BOTECO INDONESIA,MM 9,Jl. Industri Selatan 2,2,Sparepart mesin injection plastik (screw & barrel),Mesin,South Korea,SFB
1740,TAE YEON INDONESIA,GG 3 B,Jl. Industri Selatan 3A,2,Sparepart,Otomotif,South Korea,SFB
360,MANDALA CIPTA JAYA,U 7 K,Jl. Jababeka XVIIB,1,Marine rubber fender,Otomotif,Indonesia,SIB
864,RUBBER TECH INDONESIA,C 19 H,Jl. Jababeka IIID,1,Rubber compound,Otomotif,South Korea,TOB
