Luas Lahan (m2),Nama Perusahaan,Blok,Alamat,Kawasan,Jenis Industri,Kategori Industri,Negara Investasi,Jenis Bangunan
239784,TIGA DUA DELAPAN,PP,Jl. Industri Selatan 4,2,Logistik dan pergudangan,Consumer Goods,Indonesia,Kavling
200000,UNILEVER INDONESIA TBK,O,Jl. Jababeka Raya,1,"Shampoo, perawatan rumah tangga, pelembut pakaian dan deterjen",FMCG,Netherland,Kavling
199090,YASULOR INDONESIA,V 10-33,Jl. Jababeka IV,1,Skincare dan Haircare,FMCG,France,Kavling
21376,ANUGERAH PHARMINDO LESTARI,DP 5 C1,Jl. Tekno Boulevard,3,Farmasi dan alat kesehatan (perdagangan besar),Farmasi,Hongkong,Kavling
5859,ASTRAZENECA INDONESIA,B 1 A-B,Jl. Tekno Raya,3,Obat,Farmasi,UK & Sweden,Kavling
10656,DAEWOONG PHARMACEUTICAL INDONESIA,A5 D 7,Jl. Science Timur 1,5,"Kosmetik, produk perawatan kulit, obat-obatan",Farmasi,South Korea,Kavling
3486,DEXA MEDICA,EE 3 L,Jl. Industri Selatan 5,2,Farmasi,Farmasi,Indonesia,SFB
43000,ETHICA INDUSTRI FARMASI,B 1 B1,Jl. Science Timur 2,5,Produk dalam kemasan ampul,Farmasi,Indonesia,Kavling
15000,GENERO PHARMACEUTICALS,KK 1A&2,Jl. Industri Selatan 1B,2,"Manufacturing service, quality control services, formulation services, clinic study services. Industri produk obat tradisional untuk manusia, Industri produk farmasi untuk manusia, Industri kosmetik untuk manusia, termasuk pasta gigi",Farmasi,Indonesia,Kavling
10000,PHARMA HEALTH CARE,B 3 I,Jl. Science Timur 1,5,Obat tetes mata,Farmasi,Indonesia,Kavling
1987,PRODIA DIAGNOSTIC LINE,A3 3A,Jl. Tekno Boulevard,3,Alat kesehatan,Farmasi,Indonesia-Germany,SFB
30000,BANGUN EKA LOGITAMA,DP 1 B,Jl. Dry Port Raya,3,Pergudangan,Gudang,Singapore,Kavling
540,BHINEKA CIPTA KARYA,V 82 U,Jl. Jababeka IVD,1,Penyewaan gedung,Gudang,Indonesia,SIB
22688,HUB GLOBAL LOGISTIK,DP 5 F,Jl. Tekno Boulevard,3,Penyewaan gedung,Gudang,Indonesia,Kavling
50109,LOTTE LOGISTICS INDONESIA,DP 5 B,Jl. Tekno Boulevard,3,Gudang,Gudang,Indonesia,Kavling
50000,MANUNGGAL PERSADA PROPERTI,A 1 E,Jl. Science Boulevard,5,Penyewaan gudang,Gudang,Singapore - Indonesia,Kavling
49351,MEGA CAHAYA PROPERTI,V 65,Jl. Jababeka XVI,1,Penyewaan gudang,Gudang,Singapore - Indonesia,Kavling
